2025-10-27 10:50:27 INFO  utils.LogUtil - Extent Report initialized: D:\JG_PROJ\orange_hrm\reports\ExecutionReport_20251027_105026.html
2025-10-27 10:50:36 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:50:36 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:50:38 INFO  utils.LogUtil - Dashboard URL after invalid login verified: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:50:38 INFO  utils.LogUtil - PASSED: negativeLoginTest
2025-10-27 10:50:38 INFO  utils.LogUtil - Browser closed for test: negativeLoginTest
2025-10-27 10:50:43 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:50:43 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:50:46 INFO  utils.LogUtil - Dashboard URL verified: https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index
2025-10-27 10:50:49 INFO  utils.LogUtil - Logged out successfully
2025-10-27 10:50:49 INFO  utils.LogUtil - PASSED: positiveLoginTest
2025-10-27 10:50:49 INFO  utils.LogUtil - Browser closed for test: positiveLoginTest
2025-10-27 10:50:56 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:50:56 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:50:56 INFO  utils.LogUtil - Username label verified: Username
2025-10-27 10:50:56 INFO  utils.LogUtil - PASSED: verifyUsernameLabel
2025-10-27 10:50:57 INFO  utils.LogUtil - Browser closed for test: verifyUsernameLabel
2025-10-27 10:51:01 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:51:01 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:51:05 INFO  utils.LogUtil - Logo is visible.
2025-10-27 10:51:05 INFO  utils.LogUtil - Help Icon is visible.
2025-10-27 10:51:05 INFO  utils.LogUtil - User Profile Icon is visible.
2025-10-27 10:51:05 INFO  utils.LogUtil - PASSED: verifyDashboardHeaderElements
2025-10-27 10:51:05 INFO  utils.LogUtil - Browser closed for test: verifyDashboardHeaderElements
2025-10-27 10:51:11 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:51:11 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:51:15 INFO  utils.LogUtil - Dashboard loaded in: 1901 ms
2025-10-27 10:51:15 INFO  utils.LogUtil - PASSED: verifyDashboardLoadTime
2025-10-27 10:51:15 INFO  utils.LogUtil - Browser closed for test: verifyDashboardLoadTime
2025-10-27 10:51:20 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:51:20 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:51:25 INFO  utils.LogUtil - Dashboard title verified: Dashboard
2025-10-27 10:51:25 INFO  utils.LogUtil - PASSED: verifyDashboardTitle
2025-10-27 10:51:25 INFO  utils.LogUtil - Browser closed for test: verifyDashboardTitle
2025-10-27 10:51:31 INFO  utils.LogUtil - Browser launched: chrome
2025-10-27 10:51:31 INFO  utils.LogUtil - URL launched: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2025-10-27 10:51:35 INFO  utils.LogUtil - Admin Tab is visible.
2025-10-27 10:51:35 INFO  utils.LogUtil - PIM Tab is visible.
2025-10-27 10:51:35 INFO  utils.LogUtil - Leave Tab is visible.
2025-10-27 10:51:35 INFO  utils.LogUtil - PASSED: verifyLeftNavigationMenu
2025-10-27 10:51:35 INFO  utils.LogUtil - Browser closed for test: verifyLeftNavigationMenu
2025-10-27 10:51:36 INFO  utils.LogUtil - Extent Report flushed successfully
